Timestamp, RAM_Usage, Swap_Usage, CPU_Util_Core_0, CPU_Util_Core_1, CPU_Util_Core_2, CPU_Util_Core_3, CPU_Util_Core_4, CPU_Util_Core_5, CPU_Util_Core_6, CPU_Util_Core_7, CPU_Util_Core_8, CPU_Util_Core_9, CPU_Util_Core_10, CPU_Util_Core_11, GPU_Utilization, CPU_Temperature, GPU_Temperature, CPU_Power_Inst, GPU_Power_Inst, System_Power_Inst, Extra Power
2025-05-01 17:06:56, 11283/62841MB, 330/31420MB, 0,1,1,0,0,0,0,0,2,0,0,0, 0%, 50.125, 44.906, 0, 2800, 4327, 
2025-05-01 17:06:58, 11283/62841MB, 330/31420MB, 0,9,7,0,0,3,4,0,2,0,0,0, 0%, 50.218, , 0, 2800, 4226, 
2025-05-01 17:07:00, 11284/62841MB, 330/31420MB, 3,0,0,1,0,0,0,1,0,0,0,0, 0%, 50.125, , 0, 2800, 4226, 
2025-05-01 17:07:02, 11252/62841MB, 329/31420MB, 8,5,9,10,1,10,2,12,3,0,8,8, 0%, 50.093, , 399, 2800, 4334, 
2025-05-01 17:07:04, 11254/62841MB, 329/31420MB, 0,0,0,1,1,0,0,0,0,0,0,0, 0%, 50.062, , 0, 2800, 4226, 
2025-05-01 17:07:07, 11274/62841MB, 329/31420MB, 9,4,3,12,3,1,20,0,6,1,3,0, 0%, 50.312, , 399, 2800, 4536, 
2025-05-01 17:07:09, 11837/62841MB, 329/31420MB, 0,1,0,100,1,1,0,0,0,0,0,0, 59%, 51.062, 45.062, 1999, 5200, 6048, 
2025-05-01 17:07:11, 11889/62841MB, 329/31420MB, 0,0,0,100,0,2,1,1,0,0,0,0, 60%, 51.156, 45.375, 2399, 5600, 6048, 
2025-05-01 17:07:13, 11947/62841MB, 329/31420MB, 0,0,0,100,0,0,1,0,0,3,0,0, 65%, 51.218, 45.375, 2399, 5600, 6048, 
2025-05-01 17:07:15, 10936/62841MB, 329/31420MB, 0,1,0,52,0,0,0,0,0,21,0,26, 0%, 50.843, 44.906, 1599, 3200, 5040, 
2025-05-01 17:07:17, 10937/62841MB, 329/31420MB, 4,0,4,4,11,0,0,0,4,1,3,2, 0%, 50.281, , 0, 2800, 4327, 
2025-05-01 17:07:19, 10938/62841MB, 329/31420MB, 0,0,0,0,0,0,0,0,0,0,0,0, 0%, 50.562, , 0, 2800, 4226, 
2025-05-01 17:07:21, 10940/62841MB, 329/31420MB, 0,0,0,0,0,0,0,0,0,0,0,0, 0%, 50.187, , 0, 2800, 4226, 
2025-05-01 17:07:23, 10940/62841MB, 329/31420MB, 3,0,1,1,0,0,0,0,0,0,0,0, 0%, 50.343, , 0, 2800, 4226, 
2025-05-01 17:07:26, 10940/62841MB, 329/31420MB, 1,0,2,0,0,0,0,0,0,0,0,1, 0%, 50.125, , 0, 2800, 4226, 
